address,avgPric,branchName,distance,latitude,longitude,shop_id,shop_name,style,tLogo
安徽省 安庆市 大观区 集贤路街道八佰伴商场5楼遇见法式铁板餐厅,,八佰伴店,3565,30.517238655,117.0423969381,149629,中国重庆老版火锅,重庆老版火锅,http://img1.mwfile.cn/webpic/201712/0615/5a27a25c64f13.jpg
安徽省安庆市迎江区菱湖南路与龙眠山南路交叉口,,吾悦广场店,3552,30.513530731201175,117.07659912109375,289443,马路边边串串香安庆,火锅,https://m.mwfile.cn/mm1013/image/20181111/210336_782938078a.jpg!/fwfh/240x180
迎江区吾悦广场餐饮区,,安庆吾悦广场店,3566,30.513332,117.076404,148196,东北灶,中餐,https://m.mwfile.cn/mm1003/image/20180408/113323_44214583f1.jpg
安徽省安庆市桐城市龙池路与南三路交口,,桐城方圆荟店,54928,31.03137,116.97363,284861,小菜园,其他美食,http://img1.mwfile.cn/webpic/201707/2516/5976fabc2fa5f.jpg!/fwfh/240x180
迎江区吾悦广场4022-1,,吾悦广场店,3644,30.513083,117.07792,150401,骨味坊,东北菜,http://img1.mwfile.cn/Files/201502/0621/1423228885203.jpg?ID=318454
安徽省安庆市怀宁县经一路与纬六路交汇处,,德辰时代广场店,30979,30.74668,116.8422,313337,小菜园,家常菜,http://img1.mwfile.cn/webpic/201707/2516/5976fabc2fa5f.jpg!/fwfh/240x180
江苏省泰州市姜堰区人民北路锦宸大酒店对面,,万家福广场店,364715,32.50968551635744,120.14407348632814,304724,味府,本帮菜,http://img1.mwfile.cn/Files/201508/0418/1438685778627.jpg?ID=1038766!/fwfh/240x180
安徽省蚌埠市蚌山区银泰城6-12,,银泰城店,1904,32.9167573539,117.3693244371,180876,小猪小牛章鱼水煎肉,菜系水煎肉,http://img3.mwfile.cn/oa/upload/201707/0213/59588bb331894.png
安徽省蚌埠市东海大道路4000号蚌埠银泰城6层6-11号,,蚌埠银泰城店,1900,32.9168973544,117.3693792947,144723,胖哥俩肉蟹煲,本帮江浙菜,https://m.mwfile.cn/mm1003/image/20190114/171143_8bb788b55e.jpg
安徽省蚌埠市蚌山区东海大道银泰城六楼6-14黄记煌,,蚌埠银泰城店,1906,32.917088,117.36932,147201,黄记煌三汁焖锅,火锅,http://img1.mwfile.cn/Files/201603/0910/1457489337330.jpg?ID=1810113
蚌埠市东海大道与延安路交叉口银泰城6FL606号铺,,蚌埠银泰店,1903,32.917088,117.36935,146785,探鱼,烤鱼,http://img1.mwfile.cn/Files/201410/1209/1413077506621.jpg?ID=67749
蚌山区银泰城5楼,,蚌埠银泰城店,1937,32.916817,117.36898,147754,湘炉小馆,湘菜,http://img1.mwfile.cn/Files/201502/2617/1424944396335.jpg?ID=378552
蚌埠市银泰城六楼,,银泰店,1934,32.9171773539,117.3690244371,199614,GO辣餐厅,其他美食,https://m.mwfile.cn/mm1013/image/20171130/150837_8a62d2a1b5.png
东海大道银泰城6楼,,银泰城店,1934,32.9171773539,117.3690244371,172275,满福春饼·烤鸭,京菜，辽菜,https://m.mwfile.cn/mm1003/image/20171216/183127_ed686a42d6.jpg!/fwfh/240x180
安徽省蚌埠市蚌山区东海大道与延安路交汇处银泰城6楼,,银泰店,1933,32.91718,117.36904,303200,兔入江湖,其他美食,https://m.mwfile.cn/mm1013/image/20181219/095241_71d07f7945.jpg!/fwfh/240x180
安徽省蚌埠市蚌山区万达珍珠坊小龙坎老火锅,,蚌埠万达店,2547,32.91985,117.36277,207998,小龙坎老火锅,火锅,https://m.mwfile.cn/mm1013/image/20180119/133418_949b816aed.jpg
蚌山区东海大道万达三楼中段,,蚌埠万达广场店,2813,32.919468,117.359825,149632,赖胖子蟹煲,火锅,http://img1.mwfile.cn/Files/201609/2217/1474535496308.jpg?ID=2501851
蚌埠万达广场三楼,,蚌埠万达店,2807,32.9196094235,117.3599119054,145243,小菜园餐厅,美食,http://img1.mwfile.cn/webpic/201707/2516/5976fabc91c8e.jpg
安徽省蚌埠市万达广场3楼3008铺,,蚌埠万达店,2800,32.9196470313,117.359991545,209175,韩宫宴,美食,https://m.mwfile.cn/mm1003/image/20180408/163918_48ea9ec1f3.jpg
安徽蚌埠蚌山区万达广场三楼3012、3013A号商铺,,蚌埠万达店,2883,32.91914,117.35902,203572,淮上豆府,徽菜,http://img3.mwfile.cn/oa/upload/201709/2517/59c8d20f34f2c.jpg
蚌山区东海大道4399号万达广场3楼,,蚌埠万达店,2823,32.918907,117.35964,80613,茉莉餐饮,粤菜,http://img1.mwfile.cn/Files/201701/2018/1484907245121.jpg?ID=2714730
龙子湖区交通路光明花园南2号,,蚌埠银泰店,3550,32.94681,117.37858,144853,钦瓦台自助时尚餐厅,自助餐,http://img1.mwfile.cn/Files/201410/1417/1413277263348.jpg?ID=110040
蚌埠市蚌山区C三楼,,万达店,3727,32.944198,117.367614,196728,小牛哈尼章鱼水煎肉,章鱼水煎肉,http://img1.mwfile.cn/webpic/201712/0509/5a25fa948c435.jpg
安徽省亳州市谯城区希夷大道1008号亳州万达广场三楼,,亳州万达店,1587,33.8303709227,115.7802916327,245925,牛牛章鱼水煎肉,其他美食,https://m.mwfile.cn/mm1003/image/20181218/094823_c27fe73816.jpg
谯城区魏武大道与光明路交叉口金桥大厦四楼,,金桥大厦店,1585,33.85605,115.78887,206704,傣妹火锅,火锅,http://img1.mwfile.cn/Files/201501/1010/1420855871372.jpg?ID=243117
谯城区杜仲路万达广场三楼,,亳州万达店,1622,33.830013,115.77953,125728,高宅,中餐,http://img3.mwfile.cn/oa/upload/201608/0809/57a7e5b4d437f.jpg
安徽省亳州市杜仲路与希夷大道交口万达广场3楼,,亳州万达店,1587,33.8303709227,115.7802926327,231346,小菜园,美食,https://m.mwfile.cn/mm1013/image/20180530/122423_24cf8e1b83.jpg!/fwfh/240x180
谯城区亳州万达广场三楼,,亳州万达店,1628,33.829956,115.77949,126468,茉莉餐厅,中餐,http://img1.mwfile.cn/Files/201506/0214/1433228211509.jpg?ID=788713
亳州市经济开发区万达广场三楼,,亳州万达广场店,1620,33.8300309227,115.7795226327,170552,胖哥俩肉蟹煲,本帮江浙菜,https://m.mwfile.cn/mm1003/image/20190114/171143_8bb788b55e.jpg
安徽省亳州市利辛县,,亳州利辛店,87416,33.1448540448,116.2083983569,267115,牛牛章鱼水煎肉,美食,https://m.mwfile.cn/mm1003/image/20181218/094823_c27fe73816.jpg
亳州市谯城区希夷大道万达广场三楼北疆饭店,,亳州万达店,2161,33.8252075702,115.7805771268,124238,北疆饭店,新疆菜,http://img1.mwfile.cn/Files/201503/1809/1426642808443.jpg?ID=463707
安徽省亳州市蒙城县周元东路好又多茂,,蒙城好又多店,98379,33.263997,116.579779,245924,牛牛章鱼水煎肉,其他美食,https://m.mwfile.cn/mm1003/image/20181218/094823_c27fe73816.jpg
利辛县文州路与人民路交叉口七彩世界四楼,,七彩世界店,87120,33.1481613909,116.2091202721,95462,过锅瘾三汁焖锅,美食,http://img1.mwfile.cn/Files/201411/1914/1416379115799.jpg?ID=137073
安徽省蒙城市玖隆金街,,玖隆金街店,97178,33.2658480732,116.5644927969,289947,牛牛章鱼水煎肉,其他美食,https://m.mwfile.cn/mm1003/image/20181218/094823_c27fe73816.jpg
亳州市利辛县翰联时代广场东门南150米,,利辛店,86392,33.1480460518,116.1914352066,271209,码头故事火锅,火锅,https://m.mwfile.cn/mm1013/image/20180910/094615_dbdfb40abb.jpg!/fwfh/240x180
安徽省巢湖市人民路百大侧门小龙坎老火锅,,人民路店,622,31.5978374509,117.8683034162,196135,小龙坎火锅,美食,http://img3.mwfile.cn/oa/upload/201711/1312/5a091e82c5ef1.jpg
池州市人民路仁盛，世纪星城3楼,,池州世纪星城店,2039,30.6478521591,117.4997042096,172954,小菜园,徽菜,http://img1.mwfile.cn/webpic/201707/2516/5976fabc91c8e.jpg
贵池区长江北路皖江大厦113号,,四店,1225,30.66678,117.478966,138592,小菜园,徽菜,http://img1.mwfile.cn/webpic/201707/2516/5976fabc91c8e.jpg
苏宁广场5楼小菜园,,天长西路店,509,32.303608,118.31226,170262,小菜园,徽菜,http://img1.mwfile.cn/webpic/201707/2516/5976fabc91c8e.jpg
琅琊区南谯北路,,苏宁广场,648,32.296676,118.320876,169881,欢乐牧场,自助餐,http://img1.mwfile.cn/Files/201503/2610/1427337995147.jpg?ID=500284
琅琊区琅琊西路与南谯北路交叉口,,滁州苏宁广场店,233,32.30042,118.31502,179195,黄记煌三汁焖锅,火锅,http://img1.mwfile.cn/webpic/201709/1516/59bb9488b4621.jpg
安徽省滁州市中都大道银花东区西门小龙坎老火锅,,滁州银花店,1636,32.2874267597,118.3219565869,246088,小龙坎老火锅,美食,https://m.mwfile.cn/mm1013/image/20180705/113152_f3e30ed3ab.jpg!/fwfh/240x180
天长西路61号,,天长西路店,598,32.303674005,118.3112526336,170658,东北灶,东北菜,https://m.mwfile.cn/mm1003/image/20180408/113323_44214583f1.jpg
天长西路61号,,苏宁广场店,598,32.303674005,118.3112526336,169658,乐见烤鱼,烤鱼,http://img1.mwfile.cn/Files/201501/0915/1420787860574.jpg?ID=239509
天长市其他建设东路，千秋时代广场4楼,,天长店,78164,32.686954,119.0141,128747,杨军老锅底,火锅,http://img3.mwfile.cn/oa/upload/201605/2513/57453830793d7.jpg
颍州区万达广场三楼,,颍州万达店,2133,32.87182,115.82102,70367,重庆刘一手火锅,火锅,http://img1.mwfile.cn/Files/201503/1412/1426305714257.jpg?ID=443411
安徽省阜阳市中南大道商贸时代广场4楼,,阜阳店,1985,32.90266,115.799073,279755,小菜园,其他美食,http://img1.mwfile.cn/webpic/201707/2516/5976fabc2fa5f.jpg!/fwfh/240x180
颍州区淮河路万达广场3楼,,阜阳万达店,2045,32.873276,115.822975,142622,胖哥俩肉蟹煲,本帮江浙菜,https://m.mwfile.cn/mm1003/image/20190114/171143_8bb788b55e.jpg
颍州区颍河西路汇鑫大润发五楼傣妹火锅店,,大润发店,1717,32.901775,115.80213,34062,傣妹,火锅,http://img1.mwfile.cn/Files/201501/1010/1420855871372.jpg?ID=243117
颍州区香港财富广场5楼,,香港财富广场店,2075,32.90527,115.82719,171548,重庆刘一手,火锅,http://img1.mwfile.cn/Files/201503/1412/1426305714257.jpg?ID=443411
阜阳颍州区淮河路767号万达广场三层3048/3049号,,颍州万达店,2093,32.872314,115.82147,166197,小菜园,快餐简餐,http://img1.mwfile.cn/webpic/201707/2516/5976fabc91c8e.jpg
安徽省阜阳市颍州区淮河路1666号,,宝龙店,2020,32.8720141323,115.8124975178,290509,码头故事火锅店,火锅,https://m.mwfile.cn/mm1003/image/20181120/125223_0670f2e8ff.jpg!/fwfh/240x180
阜阳市颍泉区太和路396号,,阜阳万达店,,32.890124,115.814204,171099,韩宫宴碳火烤肉,烧烤,https://m.mwfile.cn/mm1003/image/20180408/163918_48ea9ec1f3.jpg
安徽省阜阳市颍州区淮河路宝龙小区东门,,阜阳店,2070,32.8721891323,115.8082485178,195520,小龙坎火锅,火锅,http://img3.mwfile.cn/oa/upload/201704/0313/58e1e1e0254b2.jpg
"颍泉区人民路财富广场1楼,2楼",,香港财富广场店,1518,32.897443,115.800475,34904,必胜客,披萨,https://m.mwfile.cn/mm1003/image/20180207/144509_16b2b82114.jpg
阜阳市颍泉区人民路财富广场5楼，大地影院对面,,香港财富广场店,2075,32.90527,115.82719,305854,阜阳小龙坎老火锅,火锅,https://m.mwfile.cn/mm1013/image/20181227/103239_e01868d0f9.jpg!/fwfh/240x180
颍州区香港财富广场5楼美食城,,财富广场店,2079,32.905304,115.8272,145424,金美味川火锅,火锅,http://img3.mwfile.cn/oa/upload/201611/2712/583a63704e9bd.png
阜阳市颖州区清河街道办事处淮河路767号万达广场1#、2#公寓、3#大商业3#108室,,阜阳万达店,2042,32.8723080695,115.8195117601,205884,耍川小郡干砂罐串串火锅,火锅,http://img3.mwfile.cn/oa/upload/201705/2015/591fedda5a4ca.png
阜阳市万达广场三楼,,颍州万达店,2033,32.8734282061,115.8230674672,69469,虾兵蟹将,徽菜,http://img1.mwfile.cn/Files/201512/0411/1449200200463.jpg?ID=1503785
颍州区淮河路万达三楼薛家老店东侧隔壁,,阜阳万达店,2145,32.87213,115.82249,134542,花田煮,快餐简餐,http://img3.mwfile.cn/oa/upload/201608/0113/579edaebbd40b.jpg
安徽阜阳市颍州区西苑小区南门东100米,,阜阳店,2175,32.8917575639,115.7909860487,196714,码头故事火锅店,火锅,http://img3.mwfile.cn/oa/upload/201711/1612/5a0d0e9834111.png
阜阳市颍州区万达广场三楼,,颍州万达广场店,2110,32.872104,115.821274,187676,小猪小牛章鱼水煎肉,韩国料理,http://img3.mwfile.cn/oa/upload/201707/0213/59588bb331894.png
太和路395号,,颍泉万达广场店,4838,32.933614,115.815642,171425,小菜园,农家菜,http://img1.mwfile.cn/webpic/201707/2516/5976fabc91c8e.jpg
安徽省阜阳市颍泉区颍泉万达广场3楼,,颖泉万达店,4857,32.9337859362,115.8156405545,171647,重庆刘一手火锅,火锅,http://img1.mwfile.cn/Files/201503/1412/1426305714257.jpg?ID=443411
安徽省阜阳市颍上县管仲老街一期二标段三号合院,,颍上店,50270,32.6462274579,116.2669042653,303281,小龙坎老火锅,火锅,https://m.mwfile.cn/mm1013/image/20181219/120859_81554dc21e.jpg!/fwfh/240x180
蜀山区南二环与东至路交口往西50米路北,,政务区店,1544,31.8169756471,117.243016076,149487,千寻炭烧,日本菜,http://img1.mwfile.cn/Files/201601/0517/1451987967665.jpg?ID=1634232
合肥蜀山区南二环路潜山路190号银泰城4F,,天鹅湖银泰城店,709,31.816861,117.233332,226846,大渝火锅,火锅,https://m.mwfile.cn/mm1003/image/20180715/121155_649c20efe1.jpg
蜀山区怀宁路天鹅湖万达内街三楼,,天鹅湖万达店,582,31.820058,117.221109,171536,淮上豆府,徽菜,http://img1.mwfile.cn/webpic/201709/2517/59c8d1fcaf00b.jpg
蜀山区南二环路3818号天鹅湖万达广场室内步行街3楼(近怀宁,,天鹅湖万达店,611,31.819171,117.220991,19838,茉莉餐饮,江浙菜,http://img1.mwfile.cn/Files/201612/2715/1482823390607.jpg?ID=2711797
蜀山区潜山路190号银泰城4楼,,华邦银泰城店,618,31.818668,117.233378,9185,多伦多海鲜自助餐厅,海鲜,http://img1.mwfile.cn/Files/201411/0115/1414826019704.jpg?ID=120947
祁门路与绿洲路交口新地中心写字楼A座四楼,,天鹅湖店,1447,31.807676,117.229126,221372,花庭里成都火锅,四川火锅,http://img3.mwfile.cn/oa/upload/201608/1611/57b28cef7338c.jpg
潜山路190号天鹅湖银泰城4层,,天鹅湖银泰城店,607,31.817923,117.232844,169530,胖哥俩肉蟹煲,本帮江浙菜,https://m.mwfile.cn/mm1003/image/20190114/171143_8bb788b55e.jpg
潜山路190号银泰城4楼,,合肥南二环银泰店,613,31.817867,117.232881,243487,外婆家,杭帮菜,https://m.mwfile.cn/mm1003/image/20180614/121623_3679c30ce0.jpg
蜀山区天鹅湖万达内街3楼,,天鹅湖万达店,573,31.820686,117.22118,166201,小菜园,徽菜,http://img1.mwfile.cn/webpic/201707/2516/5976fabc91c8e.jpg
合肥市潜山路与习友路交汇处万象城611B,,合肥万象城店,2420,31.798957,117.230113,200428,西贝莜面村,西北菜,http://img1.mwfile.cn/Files/201501/2215/1421913156239.jpg?ID=276576
蜀山区潜山路190号华邦银泰城4层,,华邦银泰城店,576,31.818637,117.232892,56121,青年公社,创意家常菜,http://img1.mwfile.cn/Files/201410/1205/1413062464935.jpg?ID=52297
蜀山区华邦银泰城4楼,,华邦银泰城店,716,31.8171245094,117.2336305063,23248,汉松亭韩式自助烧烤料理,自助餐,http://img1.mwfile.cn/Files/201503/1311/1426217090736.jpg?ID=435084
蜀山区黄山路和怀宁路交口1912街区,,1912店,2323,31.841006,117.222048,183288,胡桃里音乐酒馆,川菜/家常菜,http://img3.mwfile.cn/oa/upload/201708/0819/5989a68f160df.jpg
南二环与潜山路交叉口银泰城4楼,,银泰城店,711,31.816905,117.233387,196255,南舍南餐厅,浙江民间菜,http://img1.mwfile.cn/webpic/201711/2518/5a194b8acd4c7.jpg
政务区潜山路190号银泰城4层411铺,,天鹅湖银泰店,740,31.81714,117.23394,78355,黄记煌三汁焖锅,火锅,http://img1.mwfile.cn/Files/201603/0910/1457489337330.jpg?ID=1810113
蜀山区天鹅湖南岸习友路与潜山路交叉口华润万象城6楼612商铺,,合肥华润万象城店,2426,31.798964,117.230645,77579,探鱼,烤鱼,http://img1.mwfile.cn/Files/201410/1209/1413077506621.jpg?ID=67749
高新区科学大道与银杏路交口兴园北区金勺子土菜馆,,兴园北区店,2053,31.8198305132,117.205528063,124537,金勺子土菜馆,徽菜,http://img1.mwfile.cn/webpic/201708/2410/599e37e6c9e1d.jpg
蜀山区东流路银泰城三楼外婆家隔壁,,合肥政务区银泰城店,660,31.817156,117.232945,129200,西贝莜面村,西北菜,http://img1.mwfile.cn/Files/201501/2215/1421913156239.jpg?ID=276576
潜山路与习友路交叉口西北角华润万象城4层,,合肥万象店,2383,31.799314,117.230324,76774,多伦多海鲜自助餐厅,自助餐,http://img1.mwfile.cn/Files/201411/0115/1414825776504.jpg?ID=120839
安徽省合肥市蜀山区天鹅湖万达广场,,合肥天鹅湖店,557,31.8198976898,117.2213951285,247637,韩悦烤肉,美食,https://m.mwfile.cn/mm1013/image/20180710/134633_2dae62404a.jpg!/fwfh/240x180
蜀山区潜山路港汇广场,,港汇广场店,1629,31.8347,117.23187,146505,大渝火锅,四川火锅,https://m.mwfile.cn/mm1003/image/20180223/170133_3ef200d6d1.jpg
政务区习友路和潜山路交口华润万象城4楼L450,,华润万象城店,2547,31.79808,117.23227,77364,青年公社,创意家常菜,http://img1.mwfile.cn/Files/201509/2511/1443152508166.jpg?ID=1274589
南二环路万达广场内街三楼,,天鹅湖万达,563,31.819933,117.221325,289394,老爷锅,火锅,https://m.mwfile.cn/mm1013/image/20181111/144252_4ab157a6d0.jpg!/fwfh/240x180
天鹅湖万达广场室内步行街三楼,,天鹅湖万达店,577,31.820124,117.221158,66212,豆蔻电影主题餐厅,本帮江浙菜,http://img1.mwfile.cn/Files/201502/2716/1425025649384.jpg?ID=381252
合肥市天鹅湖万达内街三楼,,天鹅湖万达店,567,31.820545,117.221239,201719,东北灶,美食,https://m.mwfile.cn/mm1003/image/20180408/113323_44214583f1.jpg
潜山路与习友路交叉口西北角,,华润万象城店,2364,31.7995,117.23041,84374,城港记,咖啡厅,http://img1.mwfile.cn/Files/201510/2511/1445742233799.jpg?ID=1375859
政务区天鹅湖南岸习友路与潜山路交叉口华润万象城,,合肥万象城店,2426,31.799014,117.231072,70640,小辉哥火锅,美食,http://img1.mwfile.cn/Files/201410/1301/1413133960286.jpg?ID=101996
蜀山区潜山路111号华润万象城6-08号,,合肥万象城店,2414,31.79914,117.231201,125545,赤坂亭,日本菜,https://m.mwfile.cn/mm1003/image/20181101/094406_f2969e3509.jpg
蜀山区合作化路与望江西路路口华润五彩城4F,,华润五彩城店,2427,31.829573,117.250651,30878,湘炉小馆,湘菜,http://img1.mwfile.cn/Files/201502/2617/1424944396335.jpg?ID=378552
蜀山区金寨路望江路口南七商业大厦南侧,,南七店3F,3604,31.828419,117.26425,32608,庐州太太,美食,http://img1.mwfile.cn/Files/201502/2716/1425025597631.jpg?ID=381220
合肥市长江西路与潜山路交口天h中心1楼,,天玥中心店,3676,31.853533,117.230458,264462,青年公社,美食,https://m.mwfile.cn/mm1013/image/20180727/122826_2b0f06fbea.jpg!/fwfh/240x180
安徽省合肥市蜀山区翡翠路安医大二附院西港澳广场4楼,,港澳广场店,3734,31.791072,117.208396,276727,风波庄酒家,创意菜,https://m.mwfile.cn/mm1013/image/20180927/193444_a063e0d7d0.jpg!/fwfh/240x180
合肥市蜀山区金牛路与淠河路交叉口往南50米金水里商业街内,,金牛路店店,3795,31.853631,117.237269,267667,刀板香餐厅,其他美食,http://img1.mwfile.cn/webpic/201709/1511/59bb4db718a58.jpg
蜀山区金寨路望江路口南七商业大厦南侧5楼,,南七店5F,3604,31.828419,117.26425,32612,庐州太太,美食,http://img1.mwfile.cn/Files/201502/2716/1425025597631.jpg?ID=381220
合肥市蜀山区笔峰路358号,,港澳广场店,3791,31.791265,117.206777,264600,皖北三胖地锅鸡,美食,https://m.mwfile.cn/mm1013/image/20180630/105955_d0fe0f870b.png!/fwfh/240x180
合肥市瑶海区大通路与明光路交口向东50米三楼,,大通路店,8959,31.860371,117.309716,199739,延旭烧烤串城,烧烤,https://m.mwfile.cn/mm1003/image/20180421/151344_321935aa45.jpg
宣城路与南一环交口北一百米,,宣城路店,7291,31.851119,117.295546,123343,杨家火锅,美食,http://img1.mwfile.cn/Files/201410/1220/1413117902227.jpg?ID=93078
合肥市北一环与胜利路交口西南角惠风大厦一楼,,胜利路店,9771,31.875897,117.307615,184284,刀板香餐厅,徽菜,http://img1.mwfile.cn/webpic/201709/1511/59bb4db718a58.jpg
蜀山区淠河路与金牛路交口东行80米路南,,凤凰城店,4131,31.85701,117.235825,263260,皖北三胖地锅鸡,农家菜,https://m.mwfile.cn/mm1013/image/20180630/105955_d0fe0f870b.png!/fwfh/240x180
庐阳区长江中路98号银泰中心6楼601室铺位,,银泰中心店,7747,31.862746,117.292537,16326,青年餐厅,烤鸭家常菜,http://img1.mwfile.cn/Files/201508/0116/1438419120164.jpg?ID=1028587
合肥市庐阳区含山路与中菜市路交叉口银泰后门对面,,淮河路店,7790,31.8634,117.29252,99881,丰茂烤串,烧烤,https://m.mwfile.cn/mm1003/image/20190117/124112_8fa2f33841.png
长江西路189号之心城室内步行街6层,,之心城店,4695,31.853965,117.257678,124190,南京大牌档,本帮江浙菜,http://img1.mwfile.cn/Files/201410/1302/1413137933527.jpg?ID=104624
